Subsidiary ID,SF Account ID,Netsuite Product Code,netsuiteId,Quantity,Price,Date
17,0010800002oN4wGAAS,279,,103,0.93,01/11/2022
17,0010800002oN4wGAAS,281,,104,0.51,01/11/2022
5,0011p00002kva3gAAA,279,,1,1.5,01/11/2022
5,0011p00002kva3gAAA,281,,1,1.0,01/11/2022
5,00108000033qG31AAE,281,,2,0.66,01/11/2022
5,00108000033qG31AAE,3653,,2,0.65,01/11/2022
5,00108000033qG31AAE,279,,2,1.2,01/11/2022
5,0011p00002eoHvHAAU,281,,1,0.71,01/11/2022
5,0011p00002eoHvHAAU,279,,1,1.5,01/11/2022
5,0011p00002l1yFQAAY,281,,5,1.1,01/11/2022
5,0011p00002l1yFQAAY,279,,5,1.65,01/11/2022
5,0011p00002jFDDtAAO,279,,70,1.31,01/11/2022
5,0011p00002jFDDtAAO,282,,70,0.93,01/11/2022
6,0010800002xzbq3AAA,281,,4,0.68,01/11/2022
6,0010800002xzbq3AAA,279,,4,1.25,01/11/2022
5,0010800002scn19AAA,279,,2,1.34,01/11/2022
5,0010800002scn19AAA,281,,3,0.65,01/11/2022
5,0011p0000261k2NAAQ,279,,72,1.11,01/11/2022
5,0011p0000261k2NAAQ,281,,72,0.68,01/11/2022
9,0011p0000205LhOAAU,281,,144,0.48,01/11/2022
9,0011p0000205LhOAAU,282,,7,0.6,01/11/2022
9,0011p0000205LhOAAU,279,,102,0.94,01/11/2022
6,0011p00001SDxxyAAD,279,,10,1.13,01/11/2022
5,0012400000bYaokAAC,279,,8,0.42,01/11/2022
5,0011p00002aBr1OAAS,279,,182,0.6,01/11/2022
5,0011p00002aBr1OAAS,281,,182,0.2,01/11/2022
15,0010800002sc38NAAQ,281,,851,0.35,01/11/2022
15,0010800002sc38NAAQ,291,,622,0.19,01/11/2022
15,0010800002sc38NAAQ,279,,852,0.57,01/11/2022
15,0010800002sc38NAAQ,1889,,851,0.25,01/11/2022
5,0012400001L56RGAAZ,279,,239,0.74,01/11/2022
5,0012400001L56RGAAZ,281,,240,0.33,01/11/2022
5,00108000036uUGDAA2,291,,12,0.39,01/11/2022
5,0010800002xyc3yAAA,279,,29,0.98,01/11/2022
5,0010800002xyc3yAAA,281,,4,0.47,01/11/2022
5,001080000348zcNAAQ,282,,22,1.0,01/11/2022
5,001080000348zcNAAQ,279,,22,1.47,01/11/2022
5,001080000348zcNAAQ,291,,22,0.45,01/11/2022
10,0010800002oMtvaAAC,281,,46,12.15,01/11/2022
10,0010800002oMtvaAAC,279,,46,75.5,01/11/2022
5,0011p00002dvHinAAE,279,,69,1.15,01/11/2022
5,0011p00002dvHinAAE,281,,11,0.63,01/11/2022
5,0011p00002dvHinAAE,282,,58,0.75,01/11/2022
5,00108000030Ejx4AAC,281,,3,0.54,01/11/2022
5,00108000030Ejx4AAC,279,,3,0.97,01/11/2022
5,00108000030Ejx4AAC,3653,,2,0.34,01/11/2022
5,0011p0000206IJMAA2,279,,3,0.75,01/11/2022
5,0011p0000206IJMAA2,282,,13,0.52,01/11/2022
5,0011p0000206IJMAA2,278,,10,3.53,01/11/2022
5,0011p00001MntgOAAR,281,,1299,0.14,01/11/2022
5,0011p00001MntgOAAR,279,,1292,0.4,01/11/2022
5,0011p00001MntgOAAR,282,,331,0.19,01/11/2022
5,0010800002y0qFqAAI,279,,1,2.61,01/11/2022
5,0010800002y0qFqAAI,281,,1,1.24,01/11/2022
5,0012400000R66PsAAJ,278,,30,3.53,01/11/2022
5,0012400000R66PsAAJ,282,,4,0.95,01/11/2022
9,0011p00001ZhbSzAAJ,281,,773,0.37,01/11/2022
9,0011p00001ZhbSzAAJ,279,,1179,0.7,01/11/2022
